name,price,address,city,category_code,city_code,business,scan_date
Nikon AF-S NIKKOR 14-24mm - LIKE BRAND NEW,1600.0,https://toronto.craigslist.ca/tor/pho/d/nikon-af-nikkor-14-24mm-like/6750578452.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Canon 24-70mm f/2.8L II (2) Lens - BRAND NEW/BOX,1800.0,https://toronto.craigslist.ca/tor/pho/d/canon-24-70mm-28l-ii-2-lens/6746068894.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Hasselblad Super Wide C chrome body ex working condition,1850.0,https://toronto.craigslist.ca/tor/phd/d/hasselblad-super-wide-chrome/6763798429.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Mamiya-Sekor Z 110mm f2.8 W ex+++ fully working,375.0,https://toronto.craigslist.ca/tor/phd/d/mamiya-sekor-110mm-f28-ex/6763803996.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Mamiya-Sekor Z 180mm f4.5 W-N ex+ fully working,90.0,https://toronto.craigslist.ca/tor/phd/d/mamiya-sekor-180mm-f45-n-ex/6763811446.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Nikon AF-S Nikkor 85mm f1.4G lens Like New,1450.0,https://toronto.craigslist.ca/tor/phd/d/nikon-af-nikkor-85mm-f14g/6748821924.html,Toronto,phd,tor,1,2018-12-09 13:11:55
"Linhof Technika parts, well used condition",175.0,https://toronto.craigslist.ca/tor/phd/d/linhof-technika-parts-well/6748831972.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Original Rollei Bay III Mirror Lens Cap ex++,95.0,https://toronto.craigslist.ca/tor/phd/d/original-rollei-bay-iii/6748847331.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Olympus Stylus 120 film camera ex+++,70.0,https://toronto.craigslist.ca/tor/phd/d/olympus-stylus-120-film/6751616963.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Robot II body ex condition,175.0,https://toronto.craigslist.ca/tor/phd/d/robot-ii-body-ex-condition/6751623388.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Robot II body ex condition,175.0,https://toronto.craigslist.ca/tor/phd/d/robot-ii-body-ex-condition/6754469865.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Canon EF 100mm f2.8 Macro L IS USM Mint- Tested Perfect Optic,795.0,https://toronto.craigslist.ca/tor/phd/d/canon-ef-100mm-f28-macro-is/6753643216.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Sigma APO TELE CONVERTER 1.4x EX ex+++ condition,115.0,https://toronto.craigslist.ca/tor/phd/d/sigma-apo-tele-converter-14x/6762086482.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Mamiya-Sekor Z 50mm f4.5 W with hood ex+++ fully working,245.0,https://toronto.craigslist.ca/tor/phd/d/mamiya-sekor-50mm-f45-with/6763815728.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Hasselblad new style black waist level finder ex condition fit a,225.0,https://toronto.craigslist.ca/tor/phd/d/hasselblad-new-style-black/6763819725.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Hasselblad 555ELD chrome body A12 back beautiful condition digit,695.0,https://toronto.craigslist.ca/tor/phd/d/hasselblad-555eld-chrome-body/6763879846.html,Toronto,phd,tor,1,2018-12-09 13:11:55
Canon EOS 6D body in the box ex+ condition,950.0,https://toronto.craigslist.ca/tor/phd/d/canon-eos-6d-body-in-the-box/6762080164.html,Toronto,phd,tor,1,2018-12-09 13:11:55
