name,price,address,category,scan_date
Texas Instruments TI-1795 SV Standard Function Calculator,9,https://www.amazon.com/Texas-Instruments-Standard-Function-Calculator/dp/B00000JBLU/ref=sr_1_77?s=electronics&ie=UTF8&qid=1544408526&sr=1-77&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Canon CLI-8PM Photo Magenta Ink Tank,17,https://www.amazon.com/Canon-CLI-8PM-Photo-Magenta-Tank/dp/B000AYH7XO/ref=sr_1_78?s=electronics&ie=UTF8&qid=1544408526&sr=1-78,Camera & Photo: Electronics,2018-12-08
"Epson T5845-M PictureMate Print Pack Includes Inkjet Cartridge, 100 Sheets Matte Photo Paper",35,https://www.amazon.com/Epson-T5845-M-PictureMate-Inkjet-Cartridge/dp/B000IT4O0U/ref=sr_1_79?s=electronics&ie=UTF8&qid=1544408526&sr=1-79&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
CH Products Flight Sim Yoke USB ( 200-615 ),124,https://www.amazon.com/CH-Products-Flight-Yoke-200-615/dp/B000056SPM/ref=sr_1_80?s=electronics&ie=UTF8&qid=1544408526&sr=1-80&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Avery Address Labels with Sure Feed for Inkjet Printers, 1-1/3"" x 4"", 350 Labels, Permanent Adhesive (8162)",9,https://www.amazon.com/Avery-Address-Printers-Permanent-Adhesive/dp/B00008XPL6/ref=sr_1_81?s=electronics&ie=UTF8&qid=1544408526&sr=1-81&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Avery Shipping Address Labels, Inkjet Printers, 1,000 Labels, 2x4 Labels, Permanent Adhesive, TrueBlock (8463)",26,https://www.amazon.com/Avery-Shipping-Printers-Permanent-TrueBlock/dp/B00007M4HG/ref=sr_1_82?s=electronics&ie=UTF8&qid=1544408526&sr=1-82&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Schumacher SE-82-6 Dual-Rate 2/6 Amp Manual Battery Charger,37,https://www.amazon.com/Schumacher-SE-82-6-Dual-Rate-Battery-Charger/dp/B0009IBJBM/ref=sr_1_84?s=electronics&ie=UTF8&qid=1544408526&sr=1-84&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Astrobrights Color Paper, 8.5_ѝ x 11_ѝ, 24 lb/89 gsm, Cosmic Orange, 500 Sheets (22651)",13,https://www.amazon.com/Astrobrights-Cosmic-Orange-Sheets-22651/dp/B00008XPHO/ref=sr_1_85?s=electronics&ie=UTF8&qid=1544408526&sr=1-85,Camera & Photo: Electronics,2018-12-08
"RAYOVAC C 12-Pack HIGH ENERGY Alkaline Batteries, 814-12PPK",15,https://www.amazon.com/RAYOVAC-12-Pack-Alkaline-Batteries-814-12PPK/dp/B00008MOQ4/ref=sr_1_86?s=electronics&ie=UTF8&qid=1544408526&sr=1-86&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"HP Printer Paper, Premium32, 8.5 x 11 Paper, Letter Size, 32 lb Paper, 100 Bright, 6 Reams / 3,000 Sheets - Presentation Paper, Acid Free Paper (113100C)",66,https://www.amazon.com/HP-Printer-Paper-Premium32-Letter/dp/B00006L358/ref=sr_1_87?s=electronics&ie=UTF8&qid=1544408526&sr=1-87&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Fellowes 6-Outlet Office/Home Power Strip, 15 Foot Cord - Wall Mountable (99026)",24,https://www.amazon.com/Fellowes-6-Outlet-Office-Power-Strip/dp/B00006HQR8/ref=sr_1_91?s=electronics&ie=UTF8&qid=1544408526&sr=1-91&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Maxsteel 8 Tier Steel Wire Shelving for 440 CD/228 DVD/264 BluRay/Games Media Black,54,https://www.amazon.com/Maxsteel-Steel-Shelving-BluRay-Games/dp/B00005OT5X/ref=sr_1_92?s=electronics&ie=UTF8&qid=1544408526&sr=1-92&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
ScanGauge II Ultra Compact 3-in-1 Automotive Computer with Customizable Real-Time Fuel Economy Digital Gauges,156,https://www.amazon.com/ScanGauge-Automotive-Computer-Customizable-Real-Time/dp/B000AAMY86/ref=sr_1_93?s=electronics&ie=UTF8&qid=1544408526&sr=1-93&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Southworth 25% Cotton Business Paper, 8.5"" x 11"", 24 lb, Wove Finish, White, 500 Sheets (404C)",20,https://www.amazon.com/Southworth-Cotton-Business-Finish-404C/dp/B00006IE2J/ref=sr_1_94?s=electronics&ie=UTF8&qid=1544408526&sr=1-94,Camera & Photo: Electronics,2018-12-08
RCA WHP141B 900MHZ Wireless Stereo Headphones,41,https://www.amazon.com/WHP141B-900MHZ-Wireless-Stereo-Headphones/dp/B000ENRQ3M/ref=sr_1_95?s=electronics&ie=UTF8&qid=1544408526&sr=1-95&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Bose 251 Wall Mount Outdoor Environmental Speakers (White),398,https://www.amazon.com/Bose-Mount-Outdoor-Environmental-Speakers/dp/B00006I53D/ref=sr_1_96?s=electronics&ie=UTF8&qid=1544408526&sr=1-96,Camera & Photo: Electronics,2018-12-08
"Belkin Cord Concealer with Double-Sided Adhesive Tape (Gray, 6 Feet)",6,https://www.amazon.com/Belkin-Cord-Concealer-Double-Sided-Adhesive/dp/B00006HVLW/ref=sr_1_97?s=electronics&ie=UTF8&qid=1544408526&sr=1-97&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
