name,price,address,category_code,scan_date
Nikon D750 FX-format Digital SLR Camera Body,"1,396",https://www.amazon.com/Nikon-D750-FX-format-Digital-Camera/dp/B0060MVJ1Q/ref=sr_1_22/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-22&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
"PANASONIC LUMIX GX85 Camera with 12-32mm and 45-150mm Lens Bundle, 4K, 5 Axis Body Stabilization, 3 Inch Tilt and Touch Display, DMC-GX85WK (Black USA)",497,https://www.amazon.com/ev/EGG/ref=sr_deal_ev,Digital Cameras / Camera & Photo: Electronics,2018-12-11
Nikon D5600 DSLR with 18-55mm f/3.5-5.6G VR and 70-300mm f/4.5-6.3G ED,696,https://www.amazon.com/Nikon-18-55mm-3-5-5-6G-70-300mm-4-5-6-3G/dp/B01MR2D0OG/ref=sr_1_24/131-4455537-5200428?s=photo&ie=UTF8&qid=1544518733&sr=1-24&refinements=p_n_condition-type%3A2224373011%2Cp_36%3A5000-99999999,Digital Cameras / Camera & Photo: Electronics,2018-12-11
"Fujifilm Instax Mini 9 Camera + Fuji Instax Film (40 Sheets) + Accessories Bundle - Carrying Case, Color Filters, 2 Photo Albums, Assorted Frames, Selfie Lens + More (Ice Blue)",118,https://www.amazon.com/Fujifilm-Instax-Camera-Sheets-Accessories/dp/B074WH86Y2/ref=sr_1_1/145-7389768-9150813?s=photo&ie=UTF8&qid=1544518732&sr=1-1,Film Photography / Camera & Photo: Electronics,2018-12-11
"Fujifilm Instax Mini 9 Camera + Fuji Instax Film (40 Sheets) + Accessories Bundle - Carrying Case, Color Filters, Photo Album, Stickers, Selfie Lens + More (Flamingo Pink)",118,https://www.amazon.com/Fujifilm-Instax-Camera-Sheets-Accessories/dp/B074WH69W9/ref=sr_1_2/145-7389768-9150813?s=photo&ie=UTF8&qid=1544518732&sr=1-2,Film Photography / Camera & Photo: Electronics,2018-12-11
"Fujifilm Instax Mini 9 Camera Bundle (Ice Blue) + Instant Camera Film 20 Sheets + Instax Case + Instax Camera Accessories Bundle, Albums, 4 Color Lenses, Selfie Lens, 6 Magnet Frames + 60 Stickers",107,https://www.amazon.com/Fujifilm-Instant-Accessories-Stickers-Shutter/dp/B074JCTQMC/ref=sr_1_3/145-7389768-9150813?s=photo&ie=UTF8&qid=1544518732&sr=1-3,Film Photography / Camera & Photo: Electronics,2018-12-11
Fujifilm Instax Mini 90 Neo Classic Instant Film Camera,118,https://www.amazon.com/Fujifilm-Instax-Mini-Neo-Classic/dp/B00FR85IRK/ref=sr_1_4/145-7389768-9150813?s=photo&ie=UTF8&qid=1544518732&sr=1-4,Film Photography / Camera & Photo: Electronics,2018-12-11
"Fujifilm Instax Mini 9 Camera + Fuji Instax Film (40 Sheets) + Accessories Bundle - Carrying Case, Color Filters, Photo Album, Stickers, Selfie Lens + More (Cobalt Blue)",118,https://www.amazon.com/Fujifilm-Instax-Camera-Sheets-Accessories/dp/B075338Z5D/ref=sr_1_5/145-7389768-9150813?s=photo&ie=UTF8&qid=1544518732&sr=1-5,Film Photography / Camera & Photo: Electronics,2018-12-11
Polaroid Originals OneStep+ (9010),135,https://www.amazon.com/Polaroid-Originals-9010-OneStep/dp/B07FTZ259M/ref=sr_1_6/145-7389768-9150813?s=photo&ie=UTF8&qid=1544518732&sr=1-6,Film Photography / Camera & Photo: Electronics,2018-12-11
Fujifilm Instax Mini 9 Instant Camera ICE BLUE w/ Fujifilm Instax Mini 9 Instant Films (60 Pack) + A14 Pc Deluxe Bundle For Fujifilm Instax Mini 9 Camera,128,https://www.amazon.com/Fujifilm-Instax-Instant-Camera-Deluxe/dp/B071GW2JXT/ref=sr_1_7/145-7389768-9150813?s=photo&ie=UTF8&qid=1544518732&sr=1-7,Film Photography / Camera & Photo: Electronics,2018-12-11
